Variable,Total,Desenlace favorable,Desenlace desfavorable,Cobertura
n,607,225,382,100 %
"Edad, años — mediana [RIC]",63 [52–72],58 [49–67],66 [54–75],100.0%
"ROSC, min — mediana [RIC]",19 [10–30],15 [8–25],20 [11–30],49.9%
Sex = Female,187 (30.8%),62 (27.6%),125 (32.7%),100 %
Sex = Male,420 (69.2%),163 (72.4%),257 (67.3%),100 %
Hospital = A,261 (43.0%),122 (54.2%),139 (36.4%),100 %
Hospital = B,120 (19.8%),34 (15.1%),86 (22.5%),100 %
Hospital = D,83 (13.7%),27 (12.0%),56 (14.7%),100 %
Hospital = E,74 (12.2%),15 (6.7%),59 (15.4%),100 %
Hospital = F,69 (11.4%),27 (12.0%),42 (11.0%),100 %
OHCA = Desconocido,41 (6.8%),15 (6.7%),26 (6.8%),100 %
OHCA = False,124 (20.4%),41 (18.2%),83 (21.7%),100 %
OHCA = True,442 (72.8%),169 (75.1%),273 (71.5%),100 %
Shockable Rhythm = Desconocido,32 (5.3%),13 (5.8%),19 (5.0%),100 %
Shockable Rhythm = False,278 (45.8%),48 (21.3%),230 (60.2%),100 %
Shockable Rhythm = True,297 (48.9%),164 (72.9%),133 (34.8%),100 %
ROSC_cat = Rápido (1-10 min),86 (14.2%),33 (14.7%),53 (13.9%),100 %
ROSC_cat = Intermedio (11-30 min),158 (26.0%),42 (18.7%),116 (30.4%),100 %
ROSC_cat = Prolongado (>30 min),59 (9.7%),10 (4.4%),49 (12.8%),100 %
ROSC_cat = Sin dato,304 (50.1%),140 (62.2%),164 (42.9%),100 %
TTM_cat = 33 °C,448 (73.8%),170 (75.6%),278 (72.8%),100 %
TTM_cat = 36 °C,61 (10.0%),24 (10.7%),37 (9.7%),100 %
TTM_cat = Sin TTM,98 (16.1%),31 (13.8%),67 (17.5%),100 %
